1428327967,6051352,6308751,610804,1392508,l,0,40,,
1428327977,6051352,6308751,610804,1392508,l,0,50,,
1428327987,6051352,6308751,610804,1392508,l,0,50,,
1428327997,6051352,6308751,610804,1392508,l,0,50,,
1428328007,6051352,6308751,610804,1392508,l,0,50,,
1428328017,6051352,6308751,610804,1392508,l,0,10,,
1428328027,6051352,6308751,610804,1392508,l,0,0,,
1428328037,6051352,6308751,610805,1392508,l,0,0,,
1428328047,6051352,6308751,610805,1392508,l,0,20,,
1428328057,6051352,6308751,610805,1392508,l,0,50,,
1428328067,6051352,6308751,610805,1392508,l,0,20,,
1428328077,6051352,6308751,610805,1392508,l,0,20,,
1428328087,6051352,6308751,610805,1392508,l,0,30,,
1428328097,6051352,6308751,610805,1392508,l,0,30,,
1428328107,6051352,6308751,610805,1392508,l,0,30,,
1428328117,6051352,6308751,610805,1392508,l,0,30,,
1428328127,6051352,6308751,610805,1392508,l,0,40,,
1428328137,6051352,6308751,610805,1392508,l,0,40,,
1428328147,6051352,6308751,610806,1392508,l,0,40,,
1428328157,6051352,6308751,610806,1392508,l,0,40,,
1428328167,6051352,6308751,610806,1392508,l,0,50,,
1428328177,6051352,6308751,610806,1392508,l,0,30,,
1428328187,6051352,6308751,610806,1392508,l,0,40,,
1428328197,6051352,6308751,610806,1392508,l,0,40,,
1428328207,6051352,6308751,610806,1392508,l,0,60,,
1428328217,6051352,6308751,610807,1392508,l,0,70,,
1428328227,6051352,6308751,610807,1392508,l,0,40,,
1428328237,6051352,6308751,610807,1392508,l,0,80,,
1428328247,6051352,6308751,610807,1392508,l,0,50,,
1428328257,6051352,6308751,610807,1392508,l,0,50,,
1428328267,6051352,6308751,610808,1392508,l,0,70,,
1428328277,6051352,6308751,610808,1392508,l,0,90,,
1428328287,6051352,6308751,610808,1392508,l,0,90,,
1428328297,6051352,6308751,610808,1392508,l,0,100,,
1428328307,6051352,6308751,610809,1392508,l,0,100,,
1428328317,6051352,6308751,610809,1392508,l,0,80,,
1428328327,6051352,6308751,610809,1392508,l,0,110,,
1428328337,6051352,6308751,610809,1392508,l,0,110,,
1428328347,6051352,6308751,610810,1392508,l,0,110,,
1428328357,6051352,6308751,610810,1392508,l,0,120,,
1428328367,6051352,6308751,610810,1392508,l,0,120,,
1428328377,6051352,6308751,610811,1392508,l,0,130,,
1428328387,6051352,6308751,610811,1392508,l,0,120,,
